127.0.0.1, 2018-03-31 15:49:54, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.001381
127.0.0.1, 2018-03-31 15:49:54, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001882
127.0.0.1, 2018-03-31 15:49:54, POST, /admin/check_version, HTTP/1.1, 200, 0.465611
127.0.0.1, 2018-03-31 15:49:56, GET, /favicon.ico, HTTP/1.1, 500, 0.071631
127.0.0.1, 2018-03-31 15:50:16, GET, /datamark/default/refresh, HTTP/1.1, 303, 0.038873
127.0.0.1, 2018-03-31 15:50:16, GET, /user/login, HTTP/1.1, 200, 0.064089
127.0.0.1, 2018-03-31 15:50:40, POST, /user/login, HTTP/1.1, 303, 0.045946
127.0.0.1, 2018-03-31 15:50:40, GET, /user/login, HTTP/1.1, 200, 0.067253
127.0.0.1, 2018-03-31 15:50:43, GET, /user/register, HTTP/1.1, 200, 0.077946
127.0.0.1, 2018-03-31 15:51:13, POST, /user/register, HTTP/1.1, 303, 0.224975
127.0.0.1, 2018-03-31 15:51:13, GET, /refresh, HTTP/1.1, 303, 0.036724
127.0.0.1, 2018-03-31 15:51:13, GET, /user/not_authorized, HTTP/1.1, 200, 0.068487
127.0.0.1, 2018-03-31 15:51:21, GET, /user/admin, HTTP/1.1, 404, 0.036883
127.0.0.1, 2018-03-31 15:51:22, GET, /favicon.ico, HTTP/1.1, 500, 0.062533
127.0.0.1, 2018-03-31 15:51:26, GET, /admin, HTTP/1.1, 303, 0.011405
127.0.0.1, 2018-03-31 15:51:26, GET, /admin/site, HTTP/1.1, 200, 0.081629
127.0.0.1, 2018-03-31 15:51:28, GET, /favicon.ico, HTTP/1.1, 500, 0.068698
127.0.0.1, 2018-03-31 15:51:29, GET, /admin/design/datamark, HTTP/1.1, 200, 0.293784
127.0.0.1, 2018-03-31 15:51:30, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.001338
127.0.0.1, 2018-03-31 15:51:30, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.001289
127.0.0.1, 2018-03-31 15:51:30, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.001371
